CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(45.715-46.78]\'','\'(0.55-1.99]\'','\'(18.83-19.46]\'','\'(27.35-27.83]\'','\'(1247.5-9445.5]\'','\'(15-36.5]\'','\'(12.5-37.5]\'','\'(1.5-2.5]\'',C1
'\'(45.715-46.78]\'','\'(0.085-0.145]\'','\'(18.83-19.46]\'','\'(26.87-27.35]\'','\'(162-208]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(45.715-46.78]\'','\'(0.255-0.335]\'','\'(18.83-19.46]\'','\'(26.87-27.35]\'','\'(790.5-1247.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(45.715-46.78]\'','\'(0.085-0.145]\'','\'(18.83-19.46]\'','\'(26.87-27.35]\'','\'(162-208]\'','\'(36.5-117]\'','\'(12.5-37.5]\'','\'(0.5-1.5]\'',C1
'\'(45.715-46.78]\'','\'(0.145-0.195]\'','\'(18.83-19.46]\'','\'(25.13-26.87]\'','\'(435-790.5]\'','\'(-inf-2.5]\'','\'(6.5-7.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.55-1.99]\'','\'(17.21-18.83]\'','\'(26.87-27.35]\'','\'(790.5-1247.5]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'',C1
'\'(43.125-45.715]\'','\'(0.335-0.55]\'','\'(-inf-9.07]\'','\'(30.15-inf)\'','\'(1247.5-9445.5]\'','\'(4.5-5.5]\'','\'(7.5-12.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.195-0.255]\'','\'(18.83-19.46]\'','\'(25.13-26.87]\'','\'(-inf-91]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.085-0.145]\'','\'(18.83-19.46]\'','\'(25.13-26.87]\'','\'(208-298.5]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.065-0.085]\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(208-298.5]\'','\'(36.5-117]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.145-0.195]\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(91-162]\'','\'(2.5-3.5]\'','\'(5.5-6.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(0.195-0.255]\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(435-790.5]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(2.5-3.5]\'',C1
'\'(43.125-45.715]\'','\'(0.085-0.145]\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(208-298.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
